,observation,species,exchange_num,clip_type,start_flight,start_timestamp,end_flight,end_timestamp,any_resting,any_foraging,any_alert,any_traveling,any_fleeing,group_resting,group_foraging,group_alert,group_traveling,group_fleeing
,ob071,imp,ob071-1,post,2,3:03,2,5:03,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob074,gz,ob074-1,post,2,4:36,2,6:36,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob074,gz,ob074-2,post,3,4:12,3,6:12,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob075,imp,ob075-1,post,2,3:43,2,5:43,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob083,gz,ob083-1,post,2,4:34,2,6:34,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob085,buf,ob085-1,post,2,4:37,2,6:37,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob085,buf,ob085-2,post,3,3:59,3,5:59,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
,ob087,gz,ob087-4,post,5,5:00,5,7:00,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob088,gz,ob088-2,post,3,5:00,3,7:00,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob090,gz,ob090-1,post,2,3:22,2,5:22,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob093,pz,ob093-1,post,2,3:56,2,5:56,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
,ob093,pz,ob093-2,post,3,3:45,3,5:45,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
,ob094,buf,ob094-1,post,2,5:36,2,7:36,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
,ob094,buf,ob094-3,post,4,4:15,4,6:15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
,ob095,pz,ob095-1,post,2,4:11,2,6:11,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
,ob096,imp,ob096-1,post,2,5:03,2,7:03,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
,ob101,pz,ob101-2,post,3,4:15,3,6:15,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
,ob101,imp,ob101-2,post,3,4:15,3,6:15,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
,ob103,imp,ob103-1,post,2,3:09,2,5:09,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
