observation,flight,site,species,group_size_spp,group_size_total,young_present,any_resting,any_foraging,any_alert,any_traveling,any_fleeing,group_resting,group_foraging,group_alert,group_traveling,group_fleeing,note,exclude
ob027,027-01,mpala,gz,7,7,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,
ob028,028-01,mpala,gz,6,6,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
ob036,036-01,mpala,gz,1,11,FALSE,NAN,NAN,TRUE,TRUE,NAN,FALSE,FALSE,FALSE,TRUE,FALSE,,
ob040,040-01,mpala,gz,1,17,FALSE,NAN,NAN,TRUE,NAN,TRUE,NAN,NAN,NAN,NAN,NAN,,
ob042,042-01,mpala,gz,1,13,FALSE,TRUE,NAN,TRUE,TRUE,NAN,FALSE,FALSE,TRUE,TRUE,FALSE,,
ob043,043-01,mpala,gz,4,25,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,car drives in toward end of 2 min,
ob053,053-01,mpala,gz,5,5,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
ob061,061-01,mpala,gz,14,14,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
ob066,066-01,mpala,gz,9,9,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,road rally happening on this day on nearby road,
ob074,074-01,mpala,gz,12,12,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
ob083,083-01,mpala,gz,9,9,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,
ob086,086-01,mpala,gz,10,44,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
ob087,087-01,mpala,gz,15,16,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"some walking, but appears to result from aggressive/displacement interactions",
ob088,088-01,mpala,gz,18,18,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
ob090,090-01,mpala,gz,4,5,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,
ob108,108-01,mpala,gz,5,5,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
ob110,110-01,mpala,gz,1,40,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
ob114,114-01,mpala,gz,2,23,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,
ob115,115-01,mpala,gz,1,30,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
ob009,009-01,opc,imp,1,14,FALSE,TRUE,NAN,NAN,NAN,NAN,TRUE,FALSE,FALSE,FALSE,FALSE,,
ob013,013-01,mpala,imp,28,29,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
ob014,014-01,mpala,imp,27,27,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
ob016,016-01,mpala,imp,35,38,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
ob018,018-01,mpala,imp,24,24,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
ob021,021-01,mpala,imp,29,29,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
ob024,024-01,mpala,imp,10,16,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,running spurred by a challenging male,
ob026,026-01,mpala,imp,24,24,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,
ob029,029-01,mpala,imp,58,58,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,
ob030,030-01,mpala,imp,7,7,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
ob031-032,031-032-01,mpala,imp,5,5,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,,
ob034,034-01,mpala,imp,4,18,FALSE,NAN,NAN,TRUE,NAN,NAN,NAN,NAN,NAN,NAN,NAN,,
ob035,035-01,mpala,imp,60,60,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
ob038,038-01,mpala,imp,23,23,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
ob039,039-01,mpala,imp,50,50,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
ob040,040-01,mpala,imp,16,17,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,
ob042,042-01,mpala,imp,12,13,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,
ob043,043-01,mpala,imp,21,25,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,car drives in toward end of 2 min,
ob048,048-01,mpala,imp,11,11,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,
ob050,050-01,mpala,imp,30,30,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
ob051,051-01,mpala,imp,46,46,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,
