flight,clip_type,bushiness_100m,max_windspeed,mean_windspeed
007-01,second,,12.22,10.1405
008-01,second,,8.79,7.703809523809523
009-01,second,,12.8,11.996
010-01,second,,10.23,7.716923076923077
011-01,second,,9.82,8.418421052631578
012-01,second,,10.23,8.368947368421054
013-01,second,0.2458317465232823,2.83,2.2931818181818184
014-01,second,0.0753699574548058,4.4,3.644166666666667
015-01,second,0.0684046523594821,5.04,3.8966666666666665
016-01,second,0.2578359835658524,6.84,5.594736842105264
018-01,second,0.0580343947414528,2.64,1.8383333333333332
019-01,second,0.016857963575014,6.76,5.694210526315788
021-01,second,0.2124354062270085,5.87,5.166666666666666
022-01,second,,9.56,8.415416666666665
023-01,second,,9.92,9.378947368421052
024-01,second,,8.78,7.707142857142856
025-01,second,0.0070214634515289,4.21,3.252173913043478
025-02,second,0.0219686850301589,2.27,1.4340909090909093
025-03,second,0.0165136164400709,4.76,3.7399999999999998
026-01,second,0.0701798947873904,4.61,3.643478260869565
026-02,second,0.0790028953469915,7.42,6.859999999999999
027-01,second,0.1250704734612439,7.03,4.686153846153847
029-01,second,0.018593202053885,10.14,9.237619047619047
029-02,second,0.0142264580233172,8.42,6.683636363636364
030-01,second,0.2361081503897352,7.25,6.680416666666667
030-02,second,0.2401168195896254,5.73,4.836086956521739
031-032-01,second,0.1296599486316902,6.14,5.3675
031-032-02,second,0.1294235351657063,6.1,5.087777777777778
031-032-03,second,0.1394779554687164,7.91,6.241578947368421
033-01,second,0.02073682198371,5.93,5.241666666666666
033-02,second,0.0199555997297243,5.34,4.519333333333334
034-01,second,0.0336811023736345,8.04,6.3806666666666665
035-01,second,0.0172515309443327,12.48,10.764210526315788
036-01,second,0.0,6.6,5.77
037-01,second,0.0188857847923134,8.59,6.2026315789473685
037-02,second,0.0170259416981373,8.84,7.962727272727273
038-01,second,0.1104615844424308,8.33,6.161304347826087
038-02,second,0.1733211701708251,8.14,7.278333333333333
039-01,second,0.0488388398443443,9.04,7.019166666666667
039-02,second,0.0502987521231386,7.34,5.824545454545455
039-03,second,0.0443383891804765,7.8,7.02
040-01,second,,7.37,6.431304347826086
041-01,second,0.2058466046359263,4.37,3.720476190476191
041-02,second,0.2305383010105159,4.62,4.1035
041-03,second,0.2327003985719185,3.18,2.383333333333333
041-04,second,0.1657133066415712,4.71,3.5888888888888886
041-05,second,0.1900338091954987,3.59,2.5841666666666665
042-01,second,0.1262511377962256,8.6,7.224166666666666
042-02,second,0.1457152286361154,8.6,7.276153846153846
043-01,second,0.2041504309159819,6.72,5.5655
045-01,second,0.0106460138122466,7.38,6.950454545454545
045-02,second,0.0147375286773669,8.75,7.553125
045-03,second,0.0124507772268585,6.84,6.071538461538462
046-01,second,0.0092906289459339,6.28,5.412222222222222
047-01,second,0.0116979156940646,6.99,6.002307692307692
047-02,second,0.0117512761340244,8.83,7.188235294117647
048-01,second,0.154505442787697,7.57,6.631538461538461
049-01,second,0.0867707609385439,9.9,8.670434782608694
049-02,second,0.083828426973441,11.29,10.495416666666666
050-01,second,0.0511146361486038,6.71,5.4386363636363635
050-02,second,0.0530180619883033,6.01,5.274285714285715
050-03,second,0.0166388266997201,6.15,5.432173913043478
051-01,second,0.2315631296564053,2.81,2.3315000000000006
051-02,second,0.1728194089518984,3.57,3.0384615384615383
052-01,second,0.1029171639922544,5.76,4.362916666666667
052-02,second,0.0994140875008985,6.21,5.183181818181819
053-01,second,0.203989895723735,5.4,4.828333333333333
053-02,second,0.2456251919020123,9.04,7.36
054-03,second,0.0016741213619036,7.21,6.622
055-01,second,0.1430444377046323,8.74,6.836956521739132
055-02,second,0.16973004444127,7.05,6.4377272727272725
056-01,second,0.0581128391696232,8.14,7.278571428571429
056-02,second,0.070960433227184,7.65,7.055555555555555
057-01,second,0.1402634795226504,3.89,2.883043478260869
058-01,second,0.1281225130948325,5.5,4.765000000000001
058-02,second,0.1257910026387086,7.36,6.864583333333333
059-01,second,0.0698533988769625,4.15,3.16
059-02,second,,,
061-01,second,0.2708633625342931,4.01,3.552608695652174
061-02,second,0.2552065772371161,2.7,2.202857142857143
061-03,second,0.1858403136957496,2.21,2.0728571428571425
062-01,second,0.1410619300343765,1.63,0.6927272727272727
062-02,second,0.1611589719518724,2.82,1.7447826086956524
063-01,second,0.0488947224066418,10.0,7.504545454545456
063-02,second,0.0493147632305167,7.14,6.105833333333333
063-03,second,0.0446265786105354,10.92,8.6725
064-01,second,0.0885917332612204,5.17,4.172916666666667
064-02,second,0.0881743740975315,5.6,4.59125
064-03,second,0.0553330209920881,4.44,3.662666666666667
065-01,second,0.0771008265649841,4.28,3.5629166666666663
065-02,second,0.0774948829969054,4.04,2.9058333333333337
065-03,second,0.0809239056659553,5.57,4.739999999999999
066-01,second,0.0437728002960277,2.16,1.232105263157895
066-02,second,0.0239898412654803,2.42,1.11
066-03,second,0.0360540226048448,4.62,4.047333333333333
068-01,second,0.0835988253191026,6.21,5.77625
068-02,second,0.0735578496427434,5.37,4.720476190476191
068-03,second,0.0970451936640309,5.79,5.090000000000001
070-01,second,0.0038682193845847,4.82,4.202173913043478
070-02,second,0.0040771621543682,4.46,4.276666666666666
070-03,second,0.005371976175994,3.2,2.804444444444444
071-01,second,0.1994024719083594,1.01,0.4908695652173913
071-02,second,0.1486657925163897,5.52,4.82090909090909
071-03,second,0.1905637130317844,6.86,6.191666666666666
072-01,second,0.0988750943706695,6.66,5.2294117647058815
073-01,second,0.1494669927965038,4.83,3.859583333333333
073-02,second,0.1504955578008965,4.68,4.203333333333333
074-01,second,0.1163288310346494,4.68,4.3845833333333335
074-02,second,0.1143050024539951,3.71,3.165833333333333
