flight,obs_ascent,launch_dist,clip1_start,clip1_end,ascent_start,ascent_end,approach_start,approach_end,proximity_start,proximity_end,approach_speed_mean,approach_speed_max,approach_duration_minutes,exchange_duration,takeoff_time,landing_time
035-01,75.4000024128,374.7626079522623,151500.0,271500.0,17400.0,45400.0,45400.0,151500.0,141800.0,271500.0,15.190042125177191,32.0795734416556,1.7683333333333333,,13:10:22,13:31:20
036-01,83.9000026848,395.2237339236281,144300.0,264300.0,7700.0,43200.0,43200.0,144300.0,115900.0,264300.0,21.395867713719866,43.937963624218,1.685,,05:39:28,05:59:45
037-01,85.7000027424,447.49469990265214,342300.0,462300.0,5500.0,86500.0,86500.0,342300.0,302200.0,462300.0,10.037773770988839,41.7815654094776,4.263333333333334,,06:26:44,06:46:44
037-02,85.1000027232,483.1570625793398,233800.0,353800.0,5800.0,35500.0,35500.0,233800.0,107500.0,353800.0,11.195301736311102,29.624375474288403,3.305,107200.0,06:41:22,07:02:00
038-01,50.6000016192,254.60863948068007,142100.0,262100.0,5500.0,35200.0,35200.0,142100.0,125000.0,262100.0,12.259049679920409,34.3871715312192,1.7816666666666667,,07:39:09,08:02:46
038-02,50.7000016224,263.6171050058464,180000.0,300000.0,5000.0,29100.0,29100.0,180000.0,103600.0,300000.0,10.333552610008073,35.657970479138,2.515,,07:58:50,08:16:45
039-01,74.9000023968,561.6617214156942,175150.0,295150.0,5900.0,26600.0,26600.0,175150.0,160800.0,295150.0,16.30284751535441,43.6715638447676,2.4758333333333336,,11:49:52,12:06:19
039-02,65.60000209920001,555.461553984925,233800.0,353800.0,5900.0,47100.0,47100.0,233800.0,105200.0,353800.0,13.84273118125661,38.9411677610132,3.111666666666667,46800.0,12:01:15,12:20:34
039-03,65.60000209920001,555.131766000134,238200.0,358200.0,7000.0,45100.0,45100.0,238200.0,148900.0,358200.0,12.621711140020913,37.0655693138016,3.2183333333333333,85900.0,12:14:53,12:29:10
040-01,75.4000024128,211.23862713920445,103800.0,223800.0,7800.0,49500.0,49500.0,103800.0,89600.0,223800.0,16.165719200839273,37.0295693436056,0.905,,12:58:46,13:17:32
041-01,85.500002736,309.53462011815225,128200.0,248200.0,7600.0,35500.0,35500.0,128200.0,108700.0,248200.0,14.996381012910996,42.2603650130844,1.545,,05:49:32,06:09:04
