flight,flight_type,launchtime_vid,gimbaldown_vid,gohome_vid,landed_vid,exclude,exclude_log,note,launchtime_log,gimbaldown_log,gohome_log,landed_log,landed_log_type,offset,max_discrep,mean_discrep,max_discrep_point
045-01,initial,5000.0,97000.0,1046000.0,1184000.0,,,,4200.0,96100.0,1044900.0,1183300.0,ascent_m_0,850.0,250.0,125.0,home
045-02,replacement,7000.0,18000.0,1055000.0,1187000.0,,,,4700.0,16200.0,1052600.0,1186000.0,ascent_m_0,2050.0,1050.0,475.0,land
045-03,replacement,5000.0,91000.0,1122000.0,1267000.0,,,,2500.0,88000.0,1118200.0,1263800.0,ascent_m_0,3100.0,700.0,375.0,home
046-01,initial,4000.0,103000.0,1055000.0,1199000.0,,,,3300.0,101600.0,1053000.0,1197600.0,rc_throttle_364,1400.0,700.0,325.0,launch
047-01,initial,6000.0,6000.0,1125000.0,1248000.0,,,,3900.0,3900.0,1121700.0,1246600.0,ascent_m_0,2100.0,1200.0,475.0,home
047-02,replacement,5000.0,91000.0,1177000.0,1374000.0,,,,3900.0,91000.0,1174700.0,1371400.0,rc_throttle_364,1700.0,1700.0,950.0,gimbal
048-01,initial,7000.0,131000.0,1173000.0,1301000.0,,,,5000.0,128300.0,1170100.0,1298000.0,rc_throttle_364,2800.0,800.0,300.0,launch
049-01,initial,5000.0,16000.0,1138000.0,1276000.0,,,,3300.0,14500.0,1135100.0,1274300.0,rc_throttle_364,1700.0,1200.0,350.0,home
049-02,replacement,9000.0,112000.0,1135000.0,1269000.0,,,,3600.0,106900.0,1128400.0,1264200.0,ascent_m_0,5250.0,1350.0,525.0,home
050-01,initial,6000.0,79000.0,1154000.0,1287000.0,,,,4000.0,76500.0,1151200.0,1285400.0,ascent_m_0,2250.0,650.0,425.0,land
050-02,replacement,4000.0,119000.0,1064000.0,1203000.0,,,,3100.0,117900.0,1062000.0,1201400.0,rc_throttle_364,1350.0,650.0,400.0,home
050-03,replacement,7000.0,20000.0,947000.0,,,,,5400.0,18000.0,944900.0,1113100.0,ascent_m_0,2000.0,400.0,166.66666666666666,launch
051-01,initial,7000.0,68000.0,1022000.0,1167000.0,,,,3800.0,64500.0,1018000.0,1164200.0,ascent_m_0,3350.0,650.0,375.0,home
051-02,replacement,5000.0,128000.0,858000.0,1019000.0,,,,3000.0,126000.0,855400.0,1016100.0,rc_throttle_364,2200.0,700.0,375.0,land
052-01,initial,6000.0,72000.0,1153000.0,1260000.0,,,,4600.0,71100.0,1150600.0,1257900.0,rc_throttle_364,1750.0,850.0,550.0,gimbal
052-02,replacement,,,914000.0,1018000.0,,,video started when drone was already over group - check how long drone was in place before video started,4300.0,84100.0,1038900.0,1142800.0,rc_throttle_1024,-124850.0,50.0,50.0,home
053-01,initial,5000.0,58000.0,1249000.0,1359000.0,,,,2700.0,56700.0,1246100.0,1356900.0,ascent_m_0,2200.0,900.0,450.0,gimbal
053-02,replacement,5000.0,65000.0,1016000.0,1161000.0,,,,4700.0,64200.0,1014400.0,1159900.0,rc_throttle_364,950.0,650.0,400.0,launch
054-01,initial,8000.0,79000.0,,,,True,drone log cuts out before launch. Video cuts out midway through flight,,,,,,,,,
054-02,replacement,,,,,,,"something is wrong with log; over the course of the flight, the video ""catches up"" to the log such that there are huge discrepancies between the keypoints. I have therefore removed the video keypoints (launch: 0:08, gimbal_down: 1:11, home: 19:09, landing: 21:01) and will exclude this log from analyses.",24000.0,95000.0,1142900.0,1256800.0,rc_throttle_364,,,,
054-03,replacement,6000.0,151000.0,974000.0,,,,"something is wrong with previous flight's log, so I have removed the prev_drone time (3:10)",5000.0,149900.0,971800.0,1113700.0,rc_throttle_364,1100.0,1100.0,400.0,home
055-01,initial,8000.0,1364000.0,1303000.0,1398000.0,,,,6400.0,1363200.0,1300500.0,1395800.0,rc_throttle_364,1900.0,1100.0,575.0,gimbal
055-02,replacement,5000.0,60000.0,1185000.0,1285000.0,,,,3300.0,58100.0,1182500.0,1283400.0,rc_throttle_1024,1800.0,700.0,275.0,home
056-01,initial,7000.0,90000.0,1151000.0,1284000.0,,,,3700.0,86700.0,1146900.0,1280600.0,ascent_m_0,3333.3333333333335,766.6666666667443,225.00000000003774,home
056-02,replacement,6000.0,96000.0,1123000.0,1270000.0,,,,3900.0,94000.0,1119500.0,1266500.0,ascent_m_0,3033.3333333333335,1033.3333333333285,725.0000000000377,gimbal
057-01,initial,7000.0,30000.0,1074000.0,1194000.0,,,,6100.0,29300.0,1071900.0,1193000.0,rc_throttle_364,950.0,1150.0,375.0,home
058-01,initial,6000.0,75000.0,1108000.0,1195000.0,,,,3400.0,72100.0,1103700.0,1192800.0,ascent_m_0,2750.0,1550.0,600.0,home
058-02,replacement,6000.0,32000.0,1020000.0,1127000.0,,,,2800.0,29100.0,1015200.0,1122800.0,rc_throttle_364,3700.0,1100.0,725.0,home
059-01,initial,7000.0,94000.0,1116000.0,1217000.0,,,,4400.0,90800.0,1112100.0,1214100.0,rc_throttle_364,3050.0,850.0,400.0,home
059-02,replacement,9000.0,65000.0,1067000.0,1176000.0,,,,3700.0,59000.0,,,,5650.0,350.0,350.0,launch
