flight,clip_type,bushiness_100m
071-01,second,0.1994024719083594
071-02,second,0.14866579251638976
071-03,second,0.1905637130317844
072-01,second,0.09887509437066959
073-01,second,0.14946699279650386
073-02,second,0.15049555780089657
074-01,second,0.1163288310346494
074-02,second,0.11430500245399516
074-03,second,0.1292342239343007
075-01,second,0.15968511893233214
075-02,second,0.1749045854155468
077-01,second,0.2429767970130657
078-01,second,0.13264631829647242
078-02,second,0.4231321670514859
079-01,second,0.09977003104028845
080-01,second,0.09839995770562732
080-02,second,0.14349313505752667
080-03,second,0.16862806442694542
081-01,second,0.0328554785040591
081-02,second,0.025929647756251624
081-03,second,0.34068726885425243
082-01,second,0.003982194923870419
082-02,second,0.003639788863632863
082-03,second,0.00456438294816518
083-01,second,0.009550865273911828
083-02,second,0.004154490557601022
083-03,second,0.017127454484649803
084-01,second,0.16459075699911097
084-02,second,0.1754541983927428
084-03,second,0.1358373700646798
085-01,second,0.10476664564835125
085-02,second,0.10933423387237472
085-03,second,0.11093023671342034
087-01,second,0.20199812459778316
087-02,second,0.21178585325375623
087-04,second,0.19319586840224914
087-05,second,0.15629520544737383
088-01,second,0.05824616233079596
088-02,second,0.11613492088393818
088-03,second,0.11436337480256123
089-01,second,0.17125698772009168
089-02,second,0.12221724628203594
090-01,second,0.11835252926840184
090-02,second,0.2411374375211236
090-03,second,0.15650826953107666
091-01,second,
092-01,second,
093-01,second,
093-02,second,
093-03,second,
094-01,second,
094-02,second,
094-03,second,
094-04,second,
095-01,second,
095-02,second,
096-01,second,
096-02,second,
097-01,second,
098-01,second,
099-01,second,
100-01,second,
101-01,second,0.05754733812057911
101-02,second,0.17349865964851377
101-03,second,0.22282346545913986
102-01,second,0.27553629538890245
102-02,second,0.12117238760493573
103-01,second,0.13693835830933845
103-02,second,0.13184598579058213
103-03,second,0.13819245561905305
104-01,second,0.010716634014158953
104-02,second,0.010933906075562294
104-03,second,0.010562008717672268
105-01,second,0.14539601991747425
105-02,second,0.0683728105724785
106-01,second,0.15378419947891853
106-02,second,0.15290978195198063
106-03,second,0.17357806244418064
107-01,second,0.07060786781200416
107-02,second,0.07329372319178587
107-03,second,0.08219522488702444
108-01,second,0.08402171808373622
109-01,second,0.009016378804006485
109-02,second,0.17202248170196405
110-01,second,0.02359024501683438
110-02,second,0.020305632758792446
110-03,second,0.020348890433154028
110-04,second,0.020478256275544688
111-01,second,0.11470824936048651
111-02,second,0.12828017480328788
111-03,second,0.15020656042556985
112-01,second,0.028573251302472458
112-02,second,0.09605431886332166
113-01,second,0.14188561657653598
113-02,second,0.07134817623921355
114-01,second,0.11228095901986887
114-02,second,0.12250613887458825
114-03,second,0.12937087837859915
115-01,second,0.011775952052558363
115-02,second,0.013644571532021659
115-03,second,0.010249423312734852
