flight,clip_type,clip_start_vid,clip_start_log,launch_lat,launch_lon,launch_alt,clip_start_lat,clip_start_lon,clip_start_ascent,launch-group_bear
030-01,first,144000.0,147600.0,0.357805157653912,36.9199599812618,1669.928642337722,0.355686311068647,36.9195274422275,75.60000241920001,191.61320381466
030-02,first,112000.0,145200.0,0.35780695297152,36.9199432770601,1670.16680144533,0.355821162585579,36.9196429825052,75.8000024256,188.65612279822233
031-032-01,first,230000.0,232366.66666666666,0.371605891655904,36.9034651832341,1676.6195604518207,0.370112247381298,36.9022295638415,74.9000023968,219.78784175612137
031-032-02,first,104000.0,106850.0,0.371603291558083,36.9034628771114,1676.6293261521366,0.370079266822125,36.9023697710132,86.000002752,215.83185456760015
031-032-03,first,82000.0,76633.33333333333,0.371597056964936,36.9034619921775,1676.6429979525706,0.370143745304245,36.9024799954887,84.10000269119999,214.22492240106402
033-01,first,166000.0,165450.0,0.357326423906813,36.8942184534273,1771.4451250862558,0.357520667842334,36.8911689745154,85.1000027232,273.6204163567147
033-02,first,156000.0,159050.0,0.35733249925989,36.8942248289672,1771.4222978855094,0.35789978056853,36.8901017115103,85.30000272960001,277.78225245221597
034-01,first,42000.0,203300.0,0.304515203462471,36.8773565768836,1789.8978843767416,0.307943433271653,36.8797191985016,74.20000237440001,34.752954568481364
035-01,first,138000.0,151500.0,0.30515069592415,36.8794113456835,1778.076106698424,0.306327592861097,36.8825655261398,75.4000024128,69.66375374190434
036-01,first,140000.0,144300.0,0.318045825061427,36.886931090957,1779.4475667423108,0.321595794857293,36.8869834038506,83.9000026848,0.8499336743829584
037-01,first,318000.0,342300.0,0.353320494506787,36.8836847200068,1768.8012041016368,0.349509092675732,36.8849626011942,85.7000027424,161.34882675732788
037-02,first,230000.0,233800.0,0.353317824313549,36.8836872395477,1768.7936357013814,0.34922727254559,36.8851382535053,85.1000027232,160.34798648653708
038-01,first,144000.0,142100.0,0.363354187900079,36.8967325138208,1738.6990302383783,0.364685985734735,36.8985919988358,50.6000016192,54.57048051063756
038-02,first,36000.0,180000.0,0.363357396147076,36.896733698788,1738.6691230374054,0.364764384546541,36.8986385578683,50.7000016224,53.73243899806735
039-01,first,173000.0,175150.0,0.305150042247361,36.8794036814399,1778.115779599713,0.306119150541738,36.8843553000935,74.9000023968,78.99845448751822
039-02,first,240000.0,233800.0,0.305146082486313,36.8793887081209,1778.1912190021285,0.306323828327249,36.8842375892994,65.60000209920001,76.43559521518836
039-03,first,236000.0,238200.0,0.305147049414804,36.8793943551694,1778.162288301199,0.306468272818804,36.8842030489427,65.60000209920001,74.73449261864647
040-01,first,101000.0,103800.0,0.280717696494981,36.8897855523821,1730.5364323771705,0.281707466067938,36.8914045838424,75.4000024128,58.731809507536894
041-01,first,126000.0,128200.0,0.350064526826365,36.9146468035793,1650.227591907268,0.352842758516433,36.914532139953,85.500002736,357.6207565767515
041-02,first,124000.0,122850.0,0.350051754877908,36.9146518041834,1650.1366495043626,0.352996354890961,36.9144759043839,105.8000033856,356.55850065525885
041-03,first,179000.0,181000.0,0.350068992138548,36.9146584768637,1650.1581339050513,0.352887541315916,36.9146739549477,105.500003376,0.3167514063900404
041-04,first,0.0,208550.0,0.350066444601887,36.9146630558945,1650.1129678036134,0.351169121478406,36.9143927663058,105.8000033856,346.1381434753558
041-05,first,131000.0,133100.0,0.350065633342538,36.9146539837755,1650.1780313056834,0.350889640419554,36.913923459872,115.500003696,318.2508193066411
042-01,first,83000.0,82500.0,0.339520694999349,36.910290375771,1645.584281158683,0.338548357449701,36.9089064664991,75.60000241920001,235.0883926507492
042-02,first,122000.0,118850.0,0.339523240324939,36.9102672422793,1645.783744065085,0.337931689334597,36.9083979860499,75.2000024064,229.777114795958
043-01,first,108000.0,119200.0,0.356699834640989,36.9196071703674,1676.438774346043,0.354277401714207,36.9189172400925,84.500002704,195.99880109993865
044-01,first,222000.0,208133.33333333334,0.35665334651076,36.8955209043055,1770.58599415875,0.354796603919931,36.8985150245629,85.500002736,121.6326548500438
045-01,first,190000.0,189150.0,0.35367372898883,36.883673288497,1769.406917021009,0.34866782745738,36.882627284565,85.4000027328,191.879448288338
045-02,first,178000.0,175950.0,0.353682474925863,36.8836809479113,1769.4213212214916,0.348162830138103,36.8832143369491,90.4000028928,184.86441026840308
045-03,first,129000.0,125900.0,0.353671171190561,36.8836862902759,1769.3805498201796,0.348809994700452,36.8835166689332,102.3000032736,182.01183404729315
046-01,first,127000.0,125600.0,0.349649234319393,36.8976974940326,1763.1294509201468,0.352455889662611,36.8989404722827,85.1000027232,24.02942990234008
047-01,first,107000.0,104900.0,0.356698197484656,36.8968498357407,1770.5206865566554,0.354917181250297,36.8988911098572,99.6000031872,130.9147578827948
047-02,first,175000.0,173300.0,0.356690786535264,36.8968518663759,1770.531428757015,0.353541739199543,36.9005929363529,100.40000321280002,129.90005396739915
048-01,first,150000.0,147200.0,0.369308369874019,36.9024630153067,1683.4482960703292,0.371790353813482,36.9037408945562,75.8000024256,27.398648866673664
049-01,first,136000.0,134300.0,0.307980748270123,36.8793957133504,1768.385920888344,0.313177382157303,36.8786165507514,94.7000030304,351.41633194257116
049-02,first,294000.0,288750.0,0.307984495662606,36.879387218603,1768.3943436886282,0.313354772289454,36.8786717126176,95.6000030592,352.3604918561345
