flight,clip_type,clip_start_vid,clip_start_log,launch_lat,launch_lon,clip_start_lat,clip_start_lon,launch-group_bear,clip_start_ascent_adj
062-03,first,195000.0,201700.0,0.37328312654905,36.9148256315233,0.375734379678097,36.9166378203044,36.65872217372967,85.000002432
063-01,first,335000.0,341300.0,0.313740210429078,36.8862270917646,0.311875845895435,36.8841367570238,228.4609797542123,79.40000209280001
063-02,first,206000.0,199400.0,0.313731088879726,36.8862339340429,0.311869345287715,36.8841448128072,228.48447208833457,79.60000209920001
063-03,first,158000.0,161450.0,0.313732350786408,36.8862372212019,0.311879760674033,36.8841643298665,228.40283567126863,79.60000209920001
064-01,first,158000.0,142650.0,0.307541905614578,36.8794045357607,0.310889195899609,36.8825867346284,43.74342274840724,68.40000209280001
064-02,first,219000.0,290500.0,0.307546690561438,36.8794027614603,0.310463950048602,36.8830741200474,51.71625003952275,74.8000021056
064-03,first,200000.0,196250.0,0.307535375647923,36.8794069942605,0.310462241946153,36.8830975536655,51.7699763376905,74.60000209920001
065-01,first,223000.0,243900.0,0.30754933754041,36.8794063879839,0.311853019588267,36.8788310214828,352.3345860925781,62.20000211840001
065-02,first,204000.0,212400.0,0.307529460022083,36.8793965965448,0.311850533708117,36.8788277680373,352.4508243289024,61.700002102400006
065-03,first,167000.0,164550.0,0.307534436341555,36.8793866441519,0.311857424398261,36.8788255493297,352.5555625637761,61.500002096
066-01,first,246000.0,253500.0,0.313743121252111,36.884666560767,0.313551883150427,36.8875624813916,93.75298848280546,81.30000256960001
066-02,first,173000.0,168000.0,0.31373575603036,36.8846557224377,0.31629783563695,36.8886485436826,57.48713628242076,85.6000025792
066-03,first,140000.0,286500.0,0.313738985303065,36.8846545645997,0.315411630278889,36.8890119075953,69.12793072637974,86.000002592
067-01,first,84000.0,92800.0,0.334221223081991,36.9066009199749,0.333265883685932,36.9047843233087,242.41817684309711,71.7000024224
068-01,first,184000.0,192800.0,0.376748526489685,36.9245188346447,0.373849587035857,36.9240677198016,188.9035404977484,62.0000024
068-02,first,157000.0,151166.66666666666,0.376744344856793,36.9245242643659,0.373851306764013,36.9240976467009,188.44412583770105,65.8000024256
068-03,first,247000.0,250550.0,0.376730013289471,36.9245185374987,0.373665734199305,36.9242998610607,184.10921190258563,63.500002416
069-01,first,110000.0,128000.0,0.364623896351047,36.8985401008385,0.365783704014617,36.900955296542,64.49848624425118,70.9000016288
070-01,first,402000.0,398700.0,0.354614112996047,36.8888804864309,0.355961956994305,36.8817552361321,280.64191335164145,80.30000272960001
070-02,first,191000.0,248900.0,0.354611627413091,36.8888859478235,0.3559039662576,36.8817404178107,280.1847101369309,81.4000027648
070-03,first,211000.0,205100.0,0.354608992782676,36.8888860927144,0.355907671597157,36.8817438707616,280.23826056746947,80.30000272960001
071-01,first,68000.0,64100.0,0.364634566177088,36.8985610572899,0.364818966287931,36.9000933970697,83.18344355298025,84.500002096
071-02,first,150000.0,146950.0,0.364632014434235,36.8985506661415,0.364497155400338,36.8994688056981,98.30103024135153,72.4000019328
071-03,first,126000.0,141400.0,0.364625195179059,36.8985553406076,0.364496929992962,36.8993463931377,99.14963911110864,72.60000193920001
072-01,first,133000.0,146200.0,0.364685964670322,36.9257815025477,0.367059560275846,36.9276303827518,38.10246914901663,60.10000208320001
072-02,first,129000.0,136800.0,0.36469246582622,36.925784649289,0.367581789033269,36.9285954439445,44.40247217791573,65.2000020864
073-01,first,68000.0,101000.0,0.335867975363846,36.9072025017467,0.334263062585434,36.9068877387952,191.1689942494251,67.8000020736
