observation,site,date,map_area,flight
ob102,mpala,4/14/18,2018_04_20_small_airstrip,102-01
ob102,mpala,4/14/18,2018_04_20_small_airstrip,102-02
ob103,mpala,4/15/18,newclifford1_2_3_merge,103-01
ob103,mpala,4/15/18,newclifford1_2_3_merge,103-02
ob103,mpala,4/15/18,newclifford1_2_3_merge,103-03
ob104,mpala,4/15/18,airstrip_ne_merge,104-01
ob104,mpala,4/15/18,airstrip_ne_merge,104-02
ob104,mpala,4/15/18,airstrip_ne_merge,104-03
ob105,mpala,4/16/18,riverside1_2_3_merge,105-01
ob105,mpala,4/16/18,riverside1_2_3_merge,105-02
ob106,mpala,4/16/18,riverside1_2_3_merge,106-01
ob106,mpala,4/16/18,riverside1_2_3_merge,106-02
ob106,mpala,4/16/18,riverside1_2_3_merge,106-03
ob107,mpala,4/16/18,newclifford1_2_3_merge,107-01
ob107,mpala,4/16/18,newclifford1_2_3_merge,107-02
ob107,mpala,4/16/18,newclifford1_2_3_merge,107-03
ob108,mpala,4/16/18,newclifford1_2_3_merge,108-01
ob109,mpala,4/16/18,airstrip2-1_2-2_merge,109-01
ob109,mpala,4/16/18,airstrip2-1_2-2_merge,109-02
ob110,mpala,4/17/18,airstrip2_airstripeast2_merge,110-01
ob110,mpala,4/17/18,airstrip2_airstripeast2_merge,110-02
ob110,mpala,4/17/18,airstrip2_airstripeast2_merge,110-03
ob110,mpala,4/17/18,airstrip2_airstripeast2_merge,110-04
ob111,mpala,4/17/18,newclifford1_2_3_merge,111-01
ob111,mpala,4/17/18,newclifford1_2_3_merge,111-02
ob111,mpala,4/17/18,newclifford1_2_3_merge,111-03
ob112,mpala,4/17/18,newclifford1_2_3_merge,112-01
ob112,mpala,4/17/18,newclifford1_2_3_merge,112-02
ob113,mpala,4/18/18,newclifford1_2_3_merge,113-01
ob113,mpala,4/18/18,newclifford1_2_3_merge,113-02
ob114,mpala,4/18/18,newclifford1_2_3_merge,114-01
ob114,mpala,4/18/18,newclifford1_2_3_merge,114-02
ob114,mpala,4/18/18,newclifford1_2_3_merge,114-03
ob115,mpala,4/19/18,airstrip_ne_merge,115-01
ob115,mpala,4/19/18,airstrip_ne_merge,115-02
ob115,mpala,4/19/18,airstrip_ne_merge,115-03
