observation,flight_num,clip_num,ob_time,flight_time,spp,group_behavior
105,1,3,14,16:16,buf,0.0
105,2,4,21,6:55,buf,0.0
105,2,5,28,13:55,buf,0.0
106,1,1,0,2:58,imp,0.0
106,1,2,7,9:58,imp,0.0
106,2,3,14,2:47,imp,0.0
106,2,4,21,9:47,imp,0.0
107,1,1,0,4:54,imp,0.0
107,1,2,7,11:54,imp,0.0
107,2,3,14,3:12,imp,0.0
107,2,4,21,10:12,imp,0.0
107,3,5,28,1:41,imp,0.0
108,1,1,0,2:58,gz,0.0
108,1,2,7,9:58,gz,2.0
109,1,1,0,2:58,pz,0.0
109,1,2,7,9:58,pz,0.0
110,1,1,0,2:38,gz,0.0
110,1,2,7,9:38,gz,0.0
110,1,1,0,2:38,pz,1.0
110,1,2,7,9:38,pz,0.0
111,1,1,0,1:27,imp,2.0
111,1,2,7,8:27,imp,0.0
111,1,3,14,15:27,imp,0.0
111,2,4,21,6:18,imp,0.0
111,2,5,28,13:18,imp,0.0
111,3,6,35,2:49,imp,0.0
112,1,1,0,2:19,imp,0.0
112,1,2,7,9:19,imp,0.0
112,2,3,14,2:59,imp,0.0
112,2,4,21,9:59,imp,1.0
112,2,5,28,16:59,imp,0.0
113,1,1,0,0:57,imp,0.0
113,1,2,7,7:57,imp,0.0
113,2-Jan,3,14,14:57,imp,0.0
114,1,1,0,3:23,gz,0.0
114,1,2,7,10:23,gz,0.0
114,2,3,14,1:39,gz,0.0
114,2,4,21,8:39,gz,0.0
114,3-Feb,5,28,15:39/0:22,gz,0.0
114,3,6,35,7:22,gz,0.0
114,1,1,0,3:23,imp,0.0
114,1,2,7,10:23,imp,0.0
114,2,3,14,1:39,imp,0.0
114,2,4,21,8:39,imp,0.0
114,3-Feb,5,28,15:39/0:22,imp,0.0
114,3,6,35,7:22,imp,0.0
115,1,1,0,3:41,gz,0.0
115,1,2,7,10:41,gz,0.0
115,1,1,0,3:41,pz,0.0
115,1,2,7,10:41,pz,0.0
115,2,3,14,4:09,pz,0.0
115,2,4,21,11:09,pz,0.0
115,3,5,28,4:38,pz,0.0
115,3,6,35,11:38,pz,2.0
