observation,flight,flight_type,launch,gimbal_down,prev_drone,gohome,landed,first_clip_start,note,exclude,exclude_log
ob064,064-03,replacement,0:08,2:02,2:57,18:18,20:48,3:20,,,
ob065,065-01,initial,NAN,NAN,NAN,16:40,18:38,3:43,,,
ob065,065-02,replacement,NAN,2:13,3:00,15:09,17:13,3:24,,,
ob065,065-03,replacement,0:07,1:48,2:27,17:40,19:38,2:47,,,
ob066,066-01,initial,0:04,3:40,NAN,18:06,20:16,4:06,,,
ob066,066-02,replacement,0:09,1:30,2:23,17:09,19:15,2:53,,,
ob066,066-03,replacement,NAN,NAN,1:07,17:31,19:00,2:20,video started when drone was already over group - check how long drone was in place before video started,,
ob067,067-01,initial,NAN,1:09,NAN,NAN,NAN,1:24,camera malfunction - clip cuts out before 2 minutes,,
ob068,068-01,initial,NAN,2:41,NAN,18:04,19:51,3:04,,,
ob068,068-02,replacement,0:11,0:39,2:10,18:59,20:46,2:37,,,
ob068,068-03,replacement,0:03,1:51,3:35,17:57,20:30,4:07,,,
ob069,069-01,initial,NAN,1:45,NAN,9:32,11:41,1:50,,,
ob070,070-01,initial,0:20,1:35,NAN,17:07,19:48,6:42,,,
ob070,070-02,replacement,NAN,2:08,2:43,14:01,16:42,3:11,,,
ob070,070-03,replacement,0:10,3:31,2:22,13:31,16:38,3:31,,,
ob071,071-01,initial,0:08,0:28,NAN,19:30,20:49,1:08,,,
ob071,071-02,replacement,0:07,1:03,1:44,19:19,20:34,2:30,,,
ob071,071-03,replacement,NAN,0:58,1:27,17:34,19:18,2:06,,,
ob072,072-01,initial,NAN,1:25,NAN,21:23,23:26,2:13,,,
ob072,072-02,replacement,NAN,1:24,1:44,14:26,16:30,2:09,,,
ob073,073-01,initial,NAN,1:03,NAN,20:11,21:35,1:08,,,
ob073,073-02,replacement,NAN,NAN,1:09,17:32,19:05,1:35,video started when drone was already over group - check how long drone was in place before video started,,
ob074,074-01,initial,NAN,NAN,NAN,16:41,18:43,0:00,video started when drone was already over group - check how long drone was in place before video started,,
ob074,074-02,replacement,0:03,1:43,2:34,18:42,20:43,3:05,,,
ob074,074-03,replacement,0:13,1:31,2:11,18:44,20:58,2:36,,,
ob075,075-01,initial,0:04,2:09,NAN,18:30,20:08,3:09,,,
ob075,075-02,replacement,0:24,1:33,2:05,13:00,14:36,2:27,,,
ob076,076-01,initial,0:03,2:41,NAN,5:21,7:55,3:10,,,
ob077,077-01,initial,0:26,1:27,NAN,15:00,17:17,1:32,,,
ob078,078-01,initial,NAN,2:18,NAN,18:11,20:27,2:30,,,
ob078,078-02,replacement,NAN,1:10,NAN,15:55,18:34,2:58,,,
ob078,078-03,replacement,NAN,2:21,4:59,10:22,13:51,5:20,,,
ob079,079-01,initial,0:06,1:26,NAN,16:01,18:13,1:37,,,
ob079,079-02,replacement,0:06,1:59,2:11,5:06,7:29,2:45,,,
ob080,080-01,initial,0:03,1:13,NAN,17:16,19:41,1:23,,,
ob080,080-02,replacement,NAN,2:01,2:41,15:45,18:06,3:17,,,
ob080,080-03,replacement,NAN,NAN,NAN,15:58,18:30,1:14,"video started when drone was already over group - check how long drone was in place before video started; look like previous drone goes home at 0:22, but actually we manually piloted away from the group, then engaged Go Home.",,
ob081,081-01,initial,0:02,2:20,NAN,19:43,21:38,2:23,,,
ob081,081-02,replacement,0:11,1:16,2:02,21:23,23:18,2:15,,,
ob081,081-03,replacement,0:05,1:59,3:47,17:56,20:36,4:13,,,
ob082,082-01,initial,0:06,1:13,NAN,17:30,20:04,3:07,,,
ob082,082-02,replacement,NAN,NAN,NAN,13:43,16:31,0:21,video started when drone was already over group - check how long drone was in place before video started,,
ob082,082-03,replacement,NAN,4:10,4:33,19:30,22:09,4:59,,,
ob083,083-01,initial,NAN,0:42,NAN,17:11,19:38,1:07,,,
ob083,083-02,replacement,0:06,1:36,2:07,17:59,20:12,2:26,,,
ob083,083-03,replacement,NAN,1:33,2:16,17:18,19:33,3:00,"look like previous drone goes home at 2:16, but actually we manually piloted away from the group, then engaged Go Home.",,
ob084,084-01,initial,0:10,2:01,NAN,6:09,17:46,6:37,,,
ob084,084-02,replacement,NAN,0:11,0:43,16:54,18:34,1:07,,,
ob084,084-03,replacement,NAN,0:42,0:34,16:51,18:42,1:01,,,
ob085,085-01,initial,0:02,1:47,NAN,20:39,22:40,2:21,,,
ob085,085-02,replacement,0:36,2:01,2:36,20:39,22:33,3:19,,,
ob085,085-03,replacement,0:03,1:36,2:05,19:09,21:06,2:35,,,
ob086,086-01,initial,0:08,0:59,NAN,12:54,15:01,1:18,,,
