observation,site,date,flight,species,group_size_spp,group_size_total,young_present,group_behavior,obs_ascent,launch_dist,approach_speed_mean,approach_speed_max,approach_duration_minutes,exchange_duration,takeoff_time,landing_time,clip_start_ascent_adj,bushiness_100m,max_windspeed,mean_windspeed,temperature_c,wind_speed_ms,cloud_cover_%,humidity_%,group_downwind,other_spp
ob067,mpala,4/2/18,067-01,imp,11.0,11.0,False,2.0,75.7000024224,228.47860654814528,22.04663823636768,44.45996319206,0.66,,05:19:37,05:35:36,71.7000024224,,6.23,5.7333333333333325,17.6,1,51,73,False,False
ob068,mpala,4/2/18,068-01,imp,47.0,47.0,True,1.0,75.0000024,326.5922218414438,9.234771575408113,35.711970434432004,2.33,,06:10:51,06:30:45,62.0000024,0.08310256571066,6.44,5.975416666666665,20,0.6,42,66,True,False
ob069,mpala,4/2/18,069-01,imp,25.0,25.0,True,0.0,50.9000016288,298.24664947189024,15.366097292672626,20.195983279956,1.195,,07:27:16,07:39:11,70.9000016288,0.2783706087524698,4.79,3.519565217391305,22.6,1.4,23,56,True,False
ob070,mpala,4/3/18,070-01,pz,5.0,16.0,False,0.0,85.30000272960001,807.2307612343167,9.886890348470898,48.023960241464,5.755,,04:58:39,05:18:07,80.30000272960001,0.0033387518637102,5.6,5.218571428571429,17.3,1.6,92,75,False,True
ob071,mpala,4/3/18,071-01,imp,20.0,20.0,False,0.0,65.500002096,171.80653131308253,18.49462245939272,26.423978123864003,0.5483333333333333,,06:01:20,,84.500002096,0.2280467881084096,1.56,1.243125,18.3,1.7,86,72,True,False
ob072,mpala,4/3/18,072-01,imp,5.0,5.0,False,0.0,65.10000208320001,334.92508401811114,11.378649323368132,24.2999798823,1.99,,07:22:07,07:45:42,60.10000208320001,0.0776912688460788,7.4,5.164761904761905,22.3,3.2,78,56,True,False
ob073,mpala,4/4/18,073-01,imp,7.0,7.0,False,0.0,64.8000020736,182.0615673284244,18.854139086987416,31.931973563852,0.6116666666666667,,04:41:19,05:03:15,67.8000020736,0.1529927394702957,4.8,4.140909090909092,15.7,0.6,100,83,False,False
ob074,mpala,4/4/18,074-01,gz,12.0,12.0,False,0.0,81.7000026144,451.5783076179604,22.50812970334999,43.91996363912,1.3108333333333333,,05:28:20,05:48:59,76.7000026144,0.1161042579008472,5.27,4.698333333333333,16.7,0.2,100,79,False,False
ob075,mpala,4/4/18,075-01,imp,33.0,33.0,True,0.0,70.40000225280001,272.2994989352164,8.591825363037856,20.483983041524,2.292777777777778,,06:49:35,07:09:37,63.40000225280001,0.1577670941390829,7.76,7.119583333333334,19.4,1.6,99,67,False,False
ob076,mpala,4/4/18,076-01,pz,8.0,8.0,False,3.0,80.6000025792,501.0504497013173,17.75544125099626,41.363965755204,2.180833333333333,,08:02:13,08:10:05,73.6000025792,0.0047208539150588,2.65,2.65,22.1,3.6,97,56,True,False
ob077,mpala,4/4/18,077-01,buf,15.0,15.0,False,3.0,85.00000272,261.8135763864396,33.92451124009353,44.81996289402,0.4591666666666666,,08:26:44,08:43:36,93.00000272,0.034580982958092,4.66,4.66,22.9,4.2,96,53,False,False
ob078,mpala,4/4/18,078-01,buf,46.0,46.0,True,2.0,40.400001292800006,680.2281772783541,19.66439142471025,45.251962536372,2.095,,12:31:09,12:51:53,86.4000012928,0.1220104958494378,11.31,8.845555555555556,24.5,6.9,65,47,False,False
ob079,mpala,4/4/18,079-01,buf,14.0,14.0,False,1.0,40.8000013056,308.96188397024633,17.330465779474075,23.3999806274,1.0591666666666666,,13:07:46,13:25:53,78.8000013056,0.1590335899055622,8.51,7.32304347826087,23.3,5.9,61,52,False,False
